@relation EXAMPLE1

@attribute M_LC_Z numeric
@attribute M_LC_Y numeric
@attribute M_LC_X numeric
@attribute M_LT_Z numeric
@attribute M_LT_Y numeric
@attribute M_LT_X numeric
@attribute M_RT_Z numeric
@attribute M_RT_Y numeric
@attribute M_RT_X numeric
@attribute M_C_Z numeric
@attribute M_C_Y numeric
@attribute M_C_X numeric
@attribute M_RC_Z numeric
@attribute M_RC_Y numeric
@attribute M_RC_X numeric
@attribute M_S_Z numeric
@attribute M_S_Y numeric
@attribute M_S_X numeric
@attribute SD_LC_Z numeric
@attribute SD_LC_Y numeric
@attribute SD_LC_X numeric
@attribute SD_LT_Z numeric
@attribute SD_LT_Y numeric
@attribute SD_LT_X numeric
@attribute SD_RT_Z numeric
@attribute SD_RT_Y numeric
@attribute SD_RT_X numeric
@attribute SD_C_Z numeric
@attribute SD_C_Y numeric
@attribute SD_C_X numeric
@attribute SD_RC_Z numeric
@attribute SD_RC_Y numeric
@attribute SD_RC_X numeric
@attribute SD_S_Z numeric
@attribute SD_S_Y numeric
@attribute SD_S_X numeric
@attribute PERSON {P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13}
@attribute LABLE {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
65.959459,85.040541,71.599099,70.427928,91.671171,106.135135,69.779279,92.436937,73.869369,61.274775,78.445946,80.184685,65.166667,84.040541,72.936937,69.22973,89.490991,71.445946,3.768429,6.645677,8.204404,3.888275,7.263073,6.612146,3.757386,7.015625,5.993695,1.162939,1.730557,3.244835,5.41138,9.989777,8.00988,1.65666,2.945054,4.30841,P1,1
61.245098,77.637255,79.446078,71.730392,93.715686,108.343137,69.54902,91.612745,71.117647,59.485294,75.593137,82.838235,58.382353,75.117647,75.990196,67.446078,87.004902,72.377451,9.612019,17.487693,21.403043,10.072816,19.412891,22.499453,11.452483,21.395941,22.578531,6.750801,9.805768,18.110183,10.438939,17.489377,22.910737,3.33902,6.14011,21.981491,P1,2
58.861789,74.292683,73.203252,69.47561,91.174797,110.357724,67.617886,89.772358,66.813008,59.96748,75.865854,83.849594,58.126016,75.04065,73.46748,67.504065,87.764228,72.979675,11.630717,22.335298,30.086315,14.283619,27.8005,27.109873,14.778594,26.801685,29.832009,7.614636,13.592288,19.411194,13.828081,23.564096,29.034549,4.129753,8.039619,22.974084,P1,3
67.195,87.055,72,70.07,91.535,105.475,67.97,90.17,73.215,59.36,76.055,80.71,63.745,82.32,74.215,69.45,89.405,72.36,1.544984,2.604223,1.178983,2.176028,3.498396,1.754815,3.003182,4.494563,1.67594,2.596228,2.941424,2.394974,2.142423,3.104448,1.982114,2.292924,3.575049,1.363965,P1,4
80.341346,91.865385,71.394231,80.230769,91.610577,105.451923,80.144231,89.471154,73.423077,55.826923,65.663462,80.951923,78.336538,89.461538,72.442308,74.379808,79.8125,78.75,20.662206,2.605681,0.656598,18.289462,3.526995,1.299999,15.909551,3.585378,1.41552,13.136811,11.510121,7.529276,15.347645,2.890379,0.812486,19.120694,7.279346,3.729431,P1,5
81.107527,92.849462,71.46595,81.55914,94.523297,105.749104,81.831541,91.082437,72.896057,51.78853,61.985663,76.620072,79.232975,90.222222,72.125448,72.053763,75.645161,83.448029,20.010819,1.969005,0.614714,17.207439,2.282549,1.566263,16.27002,2.625423,1.459103,10.31207,6.811845,2.634026,14.801416,2.664127,1.013545,19.469689,3.006487,2.663302,P1,6
80.202479,90.863636,71.256198,80.975207,92.342975,105.809917,81.136364,90.714876,73.557851,58.533058,70.367769,73.929752,77.578512,88.272727,72.090909,77.342975,85.07438,75.640496,20.112193,2.365821,1.024727,17.43937,2.491749,1.675364,15.11068,2.304618,1.589857,10.282826,4.180963,3.149056,15.157167,2.263618,1.202614,18.577349,2.846385,1.707692,P1,7
78.221277,86.693617,73.06383,85.27234,96.565957,105.421277,90.565957,105.251064,84.382979,65.451064,77.187234,79.982979,72.693617,80.510638,76.085106,81.714894,91.668085,72.497872,19.292871,8.253933,13.040043,17.484166,7.690206,8.334827,19.678666,18.12371,19.094115,8.07312,1.890358,1.781622,17.235532,8.550407,11.693296,19.722533,3.116265,2.379656,P1,8
76.94898,83.608844,74.465986,85.459184,97.534014,104.397959,86.064626,98.860544,76.527211,65.867347,77.758503,79.918367,73.812925,81.595238,75.853742,80.547619,91.908163,72.068027,21.767966,9.387721,16.518507,18.516495,5.649381,12.065924,17.138866,6.391768,11.73101,8.148667,1.698192,2.278292,17.76593,9.714081,15.058922,20.169759,3.396938,2.95697,P1,9
76.018462,83.138462,76.464615,83.406154,94.849231,105.633846,83.818462,95.68,76.556923,65.295385,76.867692,80.030769,73.464615,81.532308,77.073846,78.550769,87.938462,72.369231,20.860702,7.670677,9.29232,17.895628,6.52654,6.028503,16.044006,5.825335,5.835751,8.33337,2.005616,1.96092,18.02706,8.794563,8.50452,19.818283,1.889867,1.940414,P1,10
76.798387,84.919355,74.96371,89.435484,104.330645,97.822581,89.153226,102.697581,82.923387,59.697581,72.737903,82.100806,74.423387,82.616935,76.342742,75.483871,82.564516,74.641129,20.851425,6.583333,3.108698,18.765205,11.001629,10.369036,17.140804,9.128632,11.012739,9.686272,5.004016,10.434991,16.720249,6.623093,2.93743,19.789409,8.471244,8.131743,P1,11
76.594488,83.645669,77.023622,87.720472,101.181102,106.114173,88.76378,102.389764,75.992126,59.755906,72.145669,81.594488,74.389764,82.11811,77.795276,73.582677,80.57874,76.03937,21.242806,7.053259,3.988102,17.500411,3.032416,4.482551,16.572654,3.93871,4.950139,9.226132,3.974134,2.65706,18.02387,8.714287,4.325057,19.316853,2.630773,3.369389,P1,12
