Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,class
,56,81,78,69,89,87,81,106,87,67,86,83,71,92,73,66,84,88,2
,63,81,89,67,77,71,76,90,80,66,86,85,65,65,62,63,71,59,2
,56,50,112,61,85,72,68,91,52,65,85,116,49,64,74,59,87,43,2
,46,71,63,67,88,99,65,83,65,67,94,110,49,66,76,66,87,60,2
,62,96,56,70,99,104,63,88,88,71,89,92,50,65,82,67,87,85,2
,73,103,65,73,97,85,69,100,69,67,83,76,52,70,93,67,83,87,2
,71,76,61,71,90,103,70,78,5,66,90,109,54,62,129,64,84,45,2
,55,59,76,67,88,111,60,95,34,70,97,118,49,70,53,63,83,58,2
,49,67,80,64,81,92,71,99,53,72,89,101,58,97,62,64,87,80,2
,54,75,85,63,86,79,77,110,85,66,86,83,73,92,66,67,84,88,2
,63,96,97,66,84,78,79,89,79,66,86,87,65,70,59,62,71,51,2
,68,63,108,62,69,78,68,92,47,67,92,121,53,65,76,58,88,50,2
,52,79,53,60,93,113,67,82,72,69,92,107,50,63,84,67,87,68,2
,66,99,62,72,103,99,62,85,91,68,88,85,50,68,71,67,83,92,2
,73,91,69,74,85,90,68,102,76,67,83,82,56,83,83,64,86,81,2
,63,63,58,65,83,146,70,73,72,68,102,138,57,59,66,67,96,41,2
,51,62,78,62,85,107,59,92,46,75,90,108,52,82,51,71,83,59,2
,50,58,89,67,89,79,72,100,75,68,88,91,65,96,71,64,84,86,2
,51,82,83,70,99,98,72,87,81,64,82,76,70,89,71,65,86,86,2
,60,67,31,69,73,167,68,103,33,69,106,120,63,68,64,64,83,37,2
,49,53,45,54,81,145,72,83,57,80,108,103,51,62,72,65,90,54,2
,50,78,53,62,94,116,63,83,80,77,89,100,51,63,72,67,86,71,2
,64,96,71,70,97,93,64,96,70,67,88,87,51,74,92,65,80,86,2
